uid	username	nodes	cur nodes	ways	cur ways	relations	cur rels	first	last	days active	total edits	current objects	avg edits/day
195219	3dShapes	313701	269215	31367	25589	319	246	11/15/2009	04/02/2011	504	345387	295050	685.2916666666666
48448	paulbe	112662	33502	36074	7321	808	23	06/28/2008	09/18/2011	1178	149544	40846	126.94736842105263
12946	AND	73091	15893	20092	3373	10	0	09/06/2007	08/14/2010	1074	93193	19266	86.77188081936686
15212	Sec	31281	8759	6522	737	180	0	10/08/2007	08/20/2010	1047	37983	9496	36.277936962750715
204153	mfvl	23266	18242	7137	3494	444	111	12/02/2009	09/16/2011	653	30847	21847	47.23889739663093
33338	rullzer	20641	17605	8137	3594	599	147	05/08/2008	05/24/2011	1112	29377	21346	26.4181654676259
8909	mvexel	17046	10378	6098	2573	217	38	06/09/2007	07/07/2011	1489	23361	12989	15.689053055742109
12527	GercoKees	15762	2193	6298	1225	579	7	09/27/2007	09/06/2011	1441	22639	3425	15.710617626648162
175600	grossing	10279	2529	7412	2023	19	0	03/14/2010	03/14/2010	1	17710	4552	17710
211771	AND_fixbot	16026	4899	629	1	0	0	12/25/2009	07/20/2010	207	16655	4900	80.45893719806763
37627	Meeuw	14099	11442	1914	641	109	3	05/15/2008	08/11/2011	1183	16122	12086	13.62806424344886
10927	Skywave	8537	2040	4746	614	737	4	09/27/2007	08/23/2011	1426	14020	2658	9.831697054698457
2407	florisje	10591	7912	1626	685	18	2	03/17/2007	07/16/2011	1582	12235	8599	7.733881163084703
48213	Rejo Zenger	5624	3093	4649	1960	109	12	05/22/2009	04/30/2010	344	10382	5065	30.180232558139537
37993	fsteggink	7407	7296	1762	1638	95	43	06/30/2010	04/03/2011	277	9264	8977	33.44404332129964
6168	LHCarsten	5311	1231	3247	633	75	14	02/20/2007	08/26/2011	1648	8633	1878	5.238470873786408
26230	BugBlue	4811	4178	1954	1154	1069	80	11/12/2009	08/01/2011	627	7834	5412	12.494417862838915
161542	textlijn	4882	3515	1803	828	670	4	10/22/2009	12/13/2010	417	7355	4347	17.637889688249402
2758	Stefan de Konink	5611	2341	137	60	38	4	06/12/2007	06/19/2010	1104	5786	2405	5.240942028985507
459188	MA-PH	2009	1726	3003	2479	117	28	05/24/2011	07/21/2011	59	5129	4233	86.9322033898305
67592	Sybren	1004	556	2967	946	10	4	06/22/2009	07/24/2010	397	3981	1506	10.027707808564232
458995	W-PH	1642	1419	2077	1488	93	6	05/23/2011	06/28/2011	37	3812	2913	103.02702702702703
11344	maartenq	2554	243	742	159	0	0	10/21/2007	10/13/2010	1089	3296	402	3.0266299357208446
10044	Valentijn	1509	772	1396	459	77	3	06/02/2009	08/02/2011	791	2982	1234	3.769911504424779
9953	pjr	2257	681	456	56	47	1	07/21/2008	08/01/2011	1107	2760	738	2.4932249322493223
220863	stefanwillmeroth	2112	1562	594	309	28	2	01/18/2010	07/22/2011	550	2734	1873	4.970909090909091
476664	Nico Witteman	1712	1544	655	557	113	47	06/25/2011	09/18/2011	86	2480	2148	28.837209302325583
9176	Maarten Deen	409	146	1586	126	380	4	06/27/2007	06/12/2011	1447	2375	276	1.6413268832066343
74773	ANDborders2	2114	822	132	21	109	0	10/23/2008	10/26/2008	4	2355	843	588.75
16944	wim-wam-reus	1203	219	1109	186	0	0	02/01/2008	12/14/2009	683	2312	405	3.38506588579795
36790	stroet43	1628	957	328	132	29	0	11/30/2008	09/08/2011	1013	1985	1089	1.9595261599210267
466770	W-S	579	499	1298	1022	23	5	06/21/2011	08/25/2011	66	1900	1526	28.78787878787879
76275	rob72	797	248	833	388	8	1	10/30/2008	07/15/2011	989	1638	637	1.6562184024266937
6313	Cagri	1419	85	199	1	0	0	03/05/2007	07/09/2007	126	1618	86	12.841269841269842
14498	Jan Westerhof	998	964	571	517	20	6	09/24/2007	09/08/2011	1445	1589	1487	1.0996539792387543
143643	Gijsrooy	1178	975	373	213	29	1	04/15/2011	07/14/2011	91	1580	1189	17.36263736263736
57771	looisf	1312	413	215	38	26	0	09/01/2008	11/08/2008	68	1553	451	22.83823529411765
51722	Chris Parker	1300	1067	180	115	31	30	06/29/2009	05/28/2011	699	1511	1212	2.161659513590844
36593	decowski	1016	812	193	89	5	0	04/15/2009	06/27/2011	804	1214	901	1.5099502487562189
22422	SimonA	796	194	370	24	4	0	02/25/2008	12/08/2010	1017	1170	218	1.1504424778761062
466765	MA-S	392	322	605	376	74	0	06/14/2011	06/20/2011	7	1071	698	153
2017	user_2017	662	126	134	13	269	0	11/21/2008	05/31/2009	191	1065	139	5.575916230366492
9057	Tjibbe	889	73	175	13	0	0	07/02/2007	12/07/2009	889	1064	86	1.1968503937007875
166937	rethna	642	519	95	73	300	32	09/22/2009	08/25/2011	702	1037	624	1.4772079772079771
20977	Pemberton	695	144	329	22	0	0	12/06/2007	01/20/2011	1141	1024	166	0.8974583698510079
67141	ligfietser	770	491	203	100	5	1	08/18/2009	08/11/2011	723	978	592	1.3526970954356847
7702	milovanderlinden	826	690	126	74	2	0	05/23/2007	05/26/2011	1465	954	764	0.6511945392491467
58533	phicoh	502	218	372	86	34	1	08/11/2008	02/14/2011	918	908	305	0.9891067538126361
3130	Zoran Kovacevic	814	495	54	2	0	0	07/19/2006	03/08/2008	599	868	497	1.4490818030050083
69127	GeoGrafiker	727	133	107	8	0	0	01/16/2009	12/30/2009	348	834	141	2.396551724137931
25657	pjdebruin	524	188	197	48	29	0	04/25/2009	04/21/2010	362	750	236	2.0718232044198897
6676	Ante	577	214	163	39	0	0	03/21/2007	03/08/2008	353	740	253	2.096317280453258
14238	acracia	452	58	249	20	0	0	09/23/2007	10/20/2009	758	701	78	0.924802110817942
