uid	username	nodes	ways	relations	percentile
36489	jerjozwik	71788	6245	8	0.16345684597678037
147510	woodpeck_fixbot	73658	0	0	0.3177335000555042
96974	mattmaxon	45097	1752	0	0.4158587134326545
82317	AM909	28785	2352	186	0.4814647254844054
20587	balrog-kun	0	24916	0	0.5336512783778519
2318	Latze	19881	1572	1	0.5785866735366255
1819	blars	16913	650	3	0.6153786541164249
25510	Apo42	16440	291	3	0.6504280110003121
28923	California Bear	15090	1428	8	0.6850417119602212
167417	osm-sputnik	11863	1514	0	0.7130598335710591
104962	techlady	10695	643	0	0.7368072704271313
20085	stewright	10769	545	0	0.7605044392919753
86782	maxtheheathen	9884	371	0	0.7819835330438735
20783	Sam  Richards	7284	391	0	0.7980588177387363
36121	Chris Lawrence	6329	10	2	0.811340039921163
202256	Telecas	3255	2063	5	0.8224890614756588
207745	NE2	1461	3660	42	0.8333029630886329
128470	vkungys	3943	892	4	0.8434382468200259
14293	JuxTPosition	3549	208	1	0.8513093764465138
28775	StellanL	2858	451	4	0.8582484537356448
131476	DMaximus	2940	213	0	0.8648524110832543
4951	PeterIto	1435	1442	10	0.8708992315280841
123364	Tronikon	2272	259	1	0.8762025046026629
313092	markvwald	2391	91	0	0.8814010526955163
194231	Chris Bell in California	1963	389	2	0.8863315048351524
38487	jumbanho	2079	247	1	0.8912054054846568
245137	maurice2010	1922	364	0	0.8959934316491461
239998	Sundance	1914	289	4	0.9006159923425093
1679	andrewpmk	1559	413	0	0.9047463456217627
529264	widesays	1624	270	0	0.9087133279295243
416346	Brian@Brea	1485	387	0	0.9126342312453266
16290	MichaelK	1624	230	0	0.9165174335677079
4732	iandees	1820	0	1	0.9203315174021502
92286	Paul Johnson	1432	357	27	0.9241351287384201
50743	dima	1633	172	0	0.9279157005787102
44659	Phil Shipley	1636	80	0	0.9315098619515291
165869	chdr	1460	250	0	0.9350914563265409
81024	wallclimber21	1545	84	0	0.9385033962311573
315015	WernerP	1180	91	0	0.9411655052666194
365070	Gdgourou	1109	149	0	0.9438003858068327
55774	nmixter	1085	74	0	0.9462279108832296
203700	AbeFroman	1120	26	0	0.9486282074643778
51045	Geogast	1108	1	0	0.9509510075590492
100465	emc1x	897	133	0	0.9531083421825943
100901	3rdGenBruin	880	46	2	0.9550520378434194
24452	Speight	841	43	0	0.9569035755203261
17068	De Idstaaner	819	18	0	0.9586566717144108
82482	tcfjr	776	42	0	0.9603699724154399
351693	ctr112280	681	101	0	0.9620078711296265
198717	spoon!	600	137	4	0.9635598953587983
28145	amillar	712	2	0	0.9650553680978383
392862	supercity124	637	49	0	0.966492194847112
101899	Garrick	662	11	0	0.9679017931011371
16881	ulil	564	61	0	0.9692108553727058
177886	alexv	483	70	0	0.9703691136705896
467168	emesscgs	492	42	4	0.971495954473956
7168	DaveHansenTiger	0	528	0	0.9726018502809771
381909	sblanc	442	83	0	0.9737014625890947
27107	GWRoss	465	1	0	0.9746774994187763
339764	Adler	268	188	0	0.9756325912521129
101657	ponzu	373	67	0	0.9765541710912972
26260	Eugene	301	68	0	0.9773270414564312
190801	JMac	333	28	0	0.9780831558244893
91266	HurricaneCoast	312	43	0	0.9788267031947403
44938	ianlopez1115	323	20	0	0.9795451165693772
336460	robgeb	304	13	3	0.9802153564524203
70357	osmapab	286	27	0	0.9808709348380219
72235	Basstoelpel	261	48	0	0.9815181352250854
101857	gam3	272	18	0	0.9821255401190933
83529	JWalker64	269	9	0	0.9827078110174869
313196	vvvexp97	219	28	1	0.9832272469268454
308	MichaelCollinson	207	34	1	0.9837341158383968
112254	sdtoooc	229	4	0	0.9842221342532376
88771	mjn	207	19	0	0.9846954911706368
36038	DialH	221	4	0	0.9851667535884014
160321	mixmastamyk	221	3	0	0.9856359215065317
54626	mapserver	199	16	0	0.9860862389279513
429617	DamienRoz	184	30	0	0.9865344618497364
189573	DontMapMeBro	182	30	0	0.9869784957722525
93593	Richard Schave	181	14	13	0.9874141516962305
161975	Jason Raz	192	5	0	0.987826768124229
13203	bahnpirat	179	13	1	0.9882310065536893
356178	dan3831	182	10	0	0.9886331504835152
171348	Sterops	170	12	0	0.9890143494169961
24942	mannequinZOD	165	7	0	0.9893746033541317
3582	davidearl	169	0	0	0.9897285737923639
345090	rebcabin	140	6	0	0.9900343707390024
169513	spitzak	115	14	0	0.9903045611918541
70696	xybot	62	65	0	0.9905705626454369
83904	Don MacDougall	122	4	0	0.990834469599385
118242	Mirko	111	8	0	0.9910837150558918
84468	nazotoko	93	19	0	0.9913182990149568
373873	iluvsunlamp	102	10	0	0.9915528829740219
27735	Ellen taurich	84	22	0	0.99177489993528
41914	TheBo	105	0	0	0.9919948223969035
3392	SimMoonXP	24	76	0	0.9922042723603545
63936	MojaveNC	96	4	0	0.9924137223238054
39150	account_deleted_1011	85	14	0	0.9926210777876219
8821	norky	96	2	0	0.9928263387518039
48060	Sat	81	16	1	0.9930315997159859
210173	osmmaker	67	29	0	0.9932326716808988
282329	compdude	79	15	0	0.9934295546465427
83231	nzeemin	76	18	0	0.9936264376121866
118385	Jay Lieske	81	9	0	0.9938149425792925
381348	EWR	60	24	2	0.9939950695478603
222567	lcrs	82	1	0	0.9941689130175246
30845	Michi	74	8	0	0.9943406619875544
169614	DamienJR	79	1	0	0.9945082219583152
123510	Ilan Rabinovitch	67	8	1	0.994667403930538
458109	BMCRACING	64	12	0	0.9948265859027607
490897	nnikonno	60	11	0	0.994975295376811
13303	sissou	56	11	0	0.9951156268523231
361348	arekushi	51	14	0	0.9952517693285663
142831	Rudy355	48	8	0	0.9953690613080988
377883	kniahlz	46	8	0	0.9954821642883623
377053	Richard Masoner	32	20	0	0.9955910782693569
33321	tommycw1	43	6	0	0.9956937087514478
1238	80n	41	6	0	0.9957921502342698
2376	Bman	42	3	0	0.9958864027178227
436770	MACKdaddy	38	6	0	0.9959785607017412
381472	ec336	44	0	0	0.9960707186856596
157721	Greg Mote	37	7	0	0.996162876669578
120468	Gone	42	1	0	0.9962529401538619
61533	spull	35	8	0	0.9963430036381459
98880	Caitifty	40	3	0	0.9964330671224297
370429	omarcc	39	2	0	0.9965189416074447
